id	filename	md5	size	state
18f96466-5375-4db9-8fd1-3de14c961167	6285625037_R04C02_Grn.idat	3e0c79524a106d6e65716d2675a843bd	8095260	live
d8e32aa4-22ac-4714-894c-7dd7682525d6	6285625068_R05C01_Grn.idat	d1fce6ee287fd54e04df3bd8516d7857	8095282	live
90848698-ac61-4adb-8496-3fb2d290d99d	9305216012_R01C02_Red.idat	3f776b6bd9299f789c123bb1223d1f8a	8095283	live
58dbe0fb-2740-4390-af8d-8a4350066b15	6042308159_R02C02_Grn.idat	7325c07157d2a7d65a0ab69fa5205751	8095211	live
37d46539-bcdb-493c-9722-3cc36c0aca91	6929718054_R05C02_Red.idat	52daeb6d6a7efa1f68cfe46b392e74bb	8095262	live
0f59a72b-d579-49c9-8ce1-a85df7680d9b	5775041088_R03C02_Grn.idat	7b5503f9f89fee3de32a283658653175	8091452	live
145bf935-2390-47c7-a54c-8d2833674529	5775041068_R03C01_Red.idat	b83b9bbdb72e514be3b5c9288ad22174	8091452	live
50a76441-cfc1-40fe-95b7-78210890c75d	5775041007_R02C01_Red.idat	61f9a024068f9ef9274f0db6b820269c	8091452	live
373ed2d8-bfa4-4e10-a80d-734db00c410f	6042316001_R06C02_Red.idat	1f105744dec64378dfde0668e6b3889f	8095212	live
324a5968-abb0-4221-b37c-fed4137935db	6042316011_R06C01_Grn.idat	5ce14cd03d55792bb52000c2801bb70d	8095212	live
e74ab470-d8e8-4d79-a47e-b383ca780917	6042316008_R01C01_Grn.idat	3b6ce510ff2fae83d718cf1819548b73	8095220	live
21580557-8ee0-400d-b7c7-00063c9037e1	6285625037_R06C02_Grn.idat	393a82e2a2abd7c29304a162214c2407	8095260	live
e1d6e07a-278f-4e1c-8183-e084b2cd7b9d	9305216012_R06C02_Grn.idat	25d6be88b10a069871583859ecd15209	8095283	live
95feb0a6-f423-4273-9754-b2d6259868db	6057825002_R01C02_Grn.idat	deebcf51ddafb98edeb1e7c8de62430b	8095244	live
8636d340-ea20-4ca5-acd4-f91399b36fd6	6929718061_R04C01_Grn.idat	b56ce5f4ade45be10798e6c602df85ca	8095283	live
c7c8413b-61bc-4653-b3f4-2939ddcf502b	6042316011_R01C01_Red.idat	b3e55e77357c15c0d251442e0fce471f	8095212	live
c558c6e0-5cd4-4ae7-89c5-ed9f8428a1a5	6042308159_R01C01_Red.idat	68cd54546231e5bf04b4c8924168bce7	8095212	live
cb538a9d-d585-4e7e-b281-b02affb63d8a	3999492120_R05C01_Red.idat	3f4142445a6a2581a6886ee3dc74220d	8095284	live
f8345446-9568-49e4-879a-b62ed30a422d	6057825002_R03C02_Grn.idat	5843ef2ebec7dfe9d625e83d8bfd589b	8095244	live
c6cb3c55-26a5-46bf-84b4-e77614b1b0a7	9296931074_R02C01_Red.idat	e5e3a476cdae90c6b1bdfda6b374797d	8095272	live
d36f599d-5555-4727-9e3b-3ce952915690	6929718065_R04C01_Grn.idat	b8d23f35c2d52ec9c56b73bea3502afb	8095268	live
